protein_id	family	final_decision_class_b7	final_priority_b7	primary_reference	primary_reference_type	chainaware_reference_mode	pdb_target	afsp_target	qtm_score	rmsd	query_pocket_n	reference_pocket_n	query_conserved_n	reference_conserved_n	query_conservation_fraction	reference_conservation_fraction	query_unique_n	query_no_alignment_n	query_pocket_plddt_mean	pfam_names	pfam_accs	kofam_ko_ids	annotation_flags	tier1_confidence	left_class	right_class	rulebook_pre_flags	rulebook_initial_class	rulebook_rule_id	rulebook_reason	recommended_next_module	manual_review_required	manual_review_reason	section8_auto_evidence_class	section8_auto_priority	section8_auto_reason	section8_positive_ligands	section8_nonbiological_ligands	section8_context_manual_ligands	section8_recommended_action	section8_refined_evidence_class	section8_refined_priority	section8_refinement_source	section8_refinement_reason
T1P011	DAPDH_C	STRONG_ADVANCE	HIGH	3wyc-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	3wyc-assembly1_B	AF-A3DDX7-F1-model_v6	0.981	0.644	24	27	23	23	0.9583	0.8519	0	1	93.68	DAPDH_C	PF16654.10	K03340	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_POCKET_READY_FOR_LIGAND_SCAN	R04_OR_R05_OR_R06_PENDING	Strong query pocket conservation and PDB reference available; ligand/cofactor/metal scan can determine specific positive evidence class.	PDB_LIGAND_CONTACT_SCAN	NO		PDB_LIGAND_SUPPORTED_STRUCTURAL_POCKET	HIGH	Biologically interpretable NAD/NADP-like ligand contacts the P2Rank reference pocket with sufficient query pocket conservation.	NAP		NES	Advance as PDB-ligand-supported structural-pocket candidate; do not claim experimental activity.	PDB_LIGAND_SUPPORTED_STRUCTURAL_POCKET	HIGH	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P012	DAPDH_C	STRONG_ADVANCE	HIGH	3wyc-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	3wyc-assembly1_B	AF-A3DDX7-F1-model_v6	0.972	0.802	27	27	24	24	0.8889	0.8889	2	1	94.57	DAPDH_C	PF16654.10	K03340	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	no_hit	hallmark	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_POCKET_READY_FOR_LIGAND_SCAN	R04_OR_R05_OR_R06_PENDING	Strong query pocket conservation and PDB reference available; ligand/cofactor/metal scan can determine specific positive evidence class.	PDB_LIGAND_CONTACT_SCAN	NO		PDB_LIGAND_SUPPORTED_STRUCTURAL_POCKET	HIGH	Biologically interpretable NAD/NADP-like ligand contacts the P2Rank reference pocket with sufficient query pocket conservation.	NAP		NES	Advance as PDB-ligand-supported structural-pocket candidate; do not claim experimental activity.	PDB_LIGAND_SUPPORTED_STRUCTURAL_POCKET	HIGH	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P013	DAPDH_C	STRONG_ADVANCE	HIGH	3wyc-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	3wyc-assembly1_B	AF-A3DDX7-F1-model_v6	0.971	0.825	28	27	25	25	0.8929	0.9259	2	1	95.52	DAPDH_C	PF16654.10	K03340	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_POCKET_READY_FOR_LIGAND_SCAN	R04_OR_R05_OR_R06_PENDING	Strong query pocket conservation and PDB reference available; ligand/cofactor/metal scan can determine specific positive evidence class.	PDB_LIGAND_CONTACT_SCAN	NO		PDB_LIGAND_SUPPORTED_STRUCTURAL_POCKET	HIGH	Biologically interpretable NAD/NADP-like ligand contacts the P2Rank reference pocket with sufficient query pocket conservation.	NAP		NES	Advance as PDB-ligand-supported structural-pocket candidate; do not claim experimental activity.	PDB_LIGAND_SUPPORTED_STRUCTURAL_POCKET	HIGH	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P014	ECH_1	MODERATE_REVIEW	MEDIUM	3kqf-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	5zai-assembly1_A	AF-Q6NL24-F1-model_v6	0.873	0.96	10	21	5	5	0.5	0.2381	0	5	89.76	ECH_1;ECH_2	PF00378.25;PF16113.10	K14418;K15572;K18570;K27305	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_uncharacterized	MODERATE_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	MODERATE_PDB_REFERENCE_LIGAND_SCAN_NEEDED	R09_OR_R11_PENDING	Moderate pocket conservation with PDB reference; ligand scan may identify biological or non-biological HETATM context.	PDB_LIGAND_CONTACT_SCAN	NO		NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	HETATM contacts exist, but they are interpreted as non-biological support, solvent, crystallization additives, modified residues, or unknown atoms.		MSE		Do not upgrade based on HETATM contact; retain B7/pocket-based cautious class.	NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P015	ECH_1	MODERATE_REVIEW	MEDIUM	3swx-assembly1_C	PDB_TOP1	PDB_CHAIN_SPECIFIC	6wyi-assembly1_A	AF-A0R4Q3-F1-model_v6	0.87	1.3	22	14	3	3	0.1364	0.2143	11	8	86.9	ECH_1;ECH_2	PF00378.25;PF16113.10	K14418;K15572;K18570;K27305	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	LOW_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	LOW_POCKET_PDB_REFERENCE_CAUTION	R09_OR_R11_OR_MANUAL_PENDING	Low pocket conservation with PDB reference; ligand scan may be informative, but no automatic upgrade should occur without strong evidence.	PDB_LIGAND_CONTACT_SCAN_CAUTION	YES	Low pocket conservation; any ligand/contact signal must be manually interpreted.	NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	HETATM contacts exist, but they are interpreted as non-biological support, solvent, crystallization additives, modified residues, or unknown atoms.		GOL		Do not upgrade based on HETATM contact; retain B7/pocket-based cautious class.	NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P016	ECH_1	WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	3kqf-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	5zai-assembly1_A	AF-O53561-F1-model_v6	0.86	1.241	14	21	0	0	0.0	0.0	9	5	91.42	ECH_1;ECH_2	PF00378.25;PF16113.10	K14418;K15572;K18570;K27305	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	ZERO_POCKET_CONSERVATION;LOW_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	WEAK_OR_NEGATIVE_POCKET_SUPPORT	R02	Query/reference pocket conservation is zero; annotation or fold support does not translate into pocket-level support.	NO_LIGAND_UPGRADE_ALLOWED	NO		WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	Pocket conservation is zero or functionally unsupported; ligand upgrade is not allowed.				Do not claim functional pocket, ligand, cofactor, active-site, or metal-center support.	WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P017	3HCDH_N	WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	1wdk-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	1wdk-assembly1_B	AF-A1RI92-F1-model_v6	0.932	1.252	27	29	0	0	0.0	0.0	27	0	90.39	3HCDH;3HCDH_N	PF00725.27;PF02737.23		Pfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	no_hit	ZERO_POCKET_CONSERVATION;LOW_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	WEAK_OR_NEGATIVE_POCKET_SUPPORT	R02	Query/reference pocket conservation is zero; annotation or fold support does not translate into pocket-level support.	NO_LIGAND_UPGRADE_ALLOWED	NO		WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	Pocket conservation is zero or functionally unsupported; ligand upgrade is not allowed.				Do not claim functional pocket, ligand, cofactor, active-site, or metal-center support.	WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P018	3HCDH_N	DOMAIN_PARTIAL_REANALYZE	DOMAIN_RESTRICTED_REANALYSIS	AF-A6WHA0-F1-model_v6	AFSP_TOP1_DOMAIN_PARTIAL	AFSP_MODEL	1wdk-assembly1_A	AF-A6WHA0-F1-model_v6	0.421	1.562	40	25	19	19	0.475	0.76	10	11	92.52	3HCDH;3HCDH_N;ECH_1	PF00378.25;PF00725.27;PF02737.23		Pfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_uncharacterized	DOMAIN_PARTIAL_REFERENCE;MODERATE_QUERY_POCKET_CONSERVATION;AFSP_REFERENCE_AVAILABLE	DOMAIN_PARTIAL_REANALYZE	R03	Reference behaves as domain-partial or domain-restricted; full-length functional conservation should not be claimed.	DOMAIN_RESTRICTED_REANALYSIS_ONLY	YES	Domain-partial case; requires separate domain-restricted workflow.	DOMAIN_PARTIAL_REANALYZE	DOMAIN_RESTRICTED_REANALYSIS	Reference is domain-partial/domain-restricted; full-length functional conservation should not be claimed.				Carry only to domain-restricted workflow.	DOMAIN_PARTIAL_REANALYZE	DOMAIN_RESTRICTED_REANALYSIS	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P019	3HCDH_N	DOMAIN_PARTIAL_REANALYZE	DOMAIN_RESTRICTED_REANALYSIS	AF-A6WHA0-F1-model_v6	AFSP_TOP1_DOMAIN_PARTIAL	AFSP_MODEL	1wdk-assembly1_A	AF-A6WHA0-F1-model_v6	0.421	1.562	40	25	19	19	0.475	0.76	10	11	92.52	3HCDH;3HCDH_N;ECH_1	PF00378.25;PF00725.27;PF02737.23		Pfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_uncharacterized	DOMAIN_PARTIAL_REFERENCE;MODERATE_QUERY_POCKET_CONSERVATION;AFSP_REFERENCE_AVAILABLE	DOMAIN_PARTIAL_REANALYZE	R03	Reference behaves as domain-partial or domain-restricted; full-length functional conservation should not be claimed.	DOMAIN_RESTRICTED_REANALYSIS_ONLY	YES	Domain-partial case; requires separate domain-restricted workflow.	DOMAIN_PARTIAL_REANALYZE	DOMAIN_RESTRICTED_REANALYSIS	Reference is domain-partial/domain-restricted; full-length functional conservation should not be claimed.				Carry only to domain-restricted workflow.	DOMAIN_PARTIAL_REANALYZE	DOMAIN_RESTRICTED_REANALYSIS	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P020	UbiD	MODERATE_REVIEW	MEDIUM	2idb-assembly1_A-2	PDB_TOP1	PDB_CHAIN_SPECIFIC	5m1d-assembly1_B	AF-A6T0H8-F1-model_v6	0.9	1.054	27	24	18	18	0.6667	0.75	8	1	87.82	UbiD;UbiD_C;UbiD_N	PF01977.21;PF20695.2;PF20696.2	K03182	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	MODERATE_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	MODERATE_PDB_REFERENCE_LIGAND_SCAN_NEEDED	R09_OR_R11_PENDING	Moderate pocket conservation with PDB reference; ligand scan may identify biological or non-biological HETATM context.	PDB_LIGAND_CONTACT_SCAN	NO		NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	HETATM contacts exist, but they are interpreted as non-biological support, solvent, crystallization additives, modified residues, or unknown atoms.		1PE;MSE		Do not upgrade based on HETATM contact; retain B7/pocket-based cautious class.	NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P021	UbiD	MODERATE_REVIEW	MEDIUM	2idb-assembly1_A-2	PDB_TOP1	PDB_CHAIN_SPECIFIC	5m1d-assembly1_B	AF-A6T0H8-F1-model_v6	0.9	1.054	27	24	18	18	0.6667	0.75	8	1	87.82	UbiD;UbiD_C;UbiD_N	PF01977.21;PF20695.2;PF20696.2	K03182	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	MODERATE_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	MODERATE_PDB_REFERENCE_LIGAND_SCAN_NEEDED	R09_OR_R11_PENDING	Moderate pocket conservation with PDB reference; ligand scan may identify biological or non-biological HETATM context.	PDB_LIGAND_CONTACT_SCAN	NO		NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	HETATM contacts exist, but they are interpreted as non-biological support, solvent, crystallization additives, modified residues, or unknown atoms.		1PE;MSE		Do not upgrade based on HETATM contact; retain B7/pocket-based cautious class.	NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	AUTO_CLASS_ONLY	No additional refinement module applied.
