query	target	evalue	bits	prob	alntmscore	qtmscore	ttmscore	lddt	qcov	tcov	qlen	tlen	batch
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q5HE78-F1-model_v6	2.995E-20	549	1.000	7.429E-01	6.042E-01	6.884E-01	5.159E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-P9WNX7-F1-model_v6	1.340E-20	549	1.000	7.209E-01	6.096E-01	6.406E-01	5.161E-01	0.938	0.884	546	518	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q7TZP3-F1-model_v6	3.786E-21	548	1.000	7.032E-01	6.071E-01	6.379E-01	5.025E-01	0.973	0.903	546	518	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q73TP5-F1-model_v6	3.360E-20	547	1.000	7.406E-01	6.160E-01	7.060E-01	5.168E-01	0.930	0.951	546	472	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q4VKV0-F1-model_v6	3.992E-20	547	1.000	7.236E-01	6.415E-01	6.599E-01	5.327E-01	0.998	0.909	546	530	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q4L803-F1-model_v6	1.123E-19	546	1.000	7.592E-01	6.155E-01	7.004E-01	5.262E-01	0.919	0.920	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q3C1A6-F1-model_v6	1.413E-19	546	1.000	7.637E-01	6.245E-01	7.100E-01	5.286E-01	0.919	0.926	546	476	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-D5E1S7-F1-model_v6	8.425E-20	546	1.000	7.677E-01	6.175E-01	7.002E-01	5.157E-01	0.912	0.908	546	477	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A1KJE8-F1-model_v6	1.128E-20	546	1.000	7.175E-01	6.070E-01	6.379E-01	5.090E-01	0.938	0.884	546	518	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q7U2I0-F1-model_v6	2.828E-20	545	1.000	7.449E-01	5.969E-01	7.025E-01	5.066E-01	0.901	0.941	546	457	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q1JUP4-F1-model_v6	2.258E-21	544	1.000	6.912E-01	5.637E-01	6.324E-01	4.936E-01	0.912	0.909	546	481	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q8GAK7-F1-model_v6	2.112E-19	542	1.000	7.666E-01	6.286E-01	7.384E-01	5.284E-01	0.916	0.963	546	458	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A0A7W3RCJ3-F1-model_v6	8.425E-20	541	1.000	7.658E-01	6.159E-01	6.985E-01	5.076E-01	0.912	0.908	546	477	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-C3MIE5-F1-model_v6	2.112E-19	540	1.000	7.578E-01	6.253E-01	6.964E-01	5.293E-01	0.925	0.916	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q55585-F1-model_v6	2.112E-19	539	1.000	7.573E-01	6.096E-01	7.246E-01	5.283E-01	0.910	0.956	546	454	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A0PN13-F1-model_v6	5.635E-20	539	1.000	7.447E-01	6.065E-01	7.132E-01	5.092E-01	0.910	0.956	546	458	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q83R90-F1-model_v6	8.425E-20	539	1.000	7.382E-01	6.018E-01	6.871E-01	5.223E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q1MJU3-F1-model_v6	1.334E-19	539	1.000	7.467E-01	6.195E-01	6.896E-01	5.252E-01	0.932	0.920	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q5RFM9-F1-model_v6	1.585E-19	539	1.000	7.497E-01	6.172E-01	3.838E-01	5.266E-01	0.912	0.492	546	902	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q2FF06-F1-model_v6	2.521E-20	538	1.000	7.248E-01	5.912E-01	6.724E-01	5.056E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q6G7I8-F1-model_v6	1.419E-20	538	1.000	7.200E-01	5.858E-01	6.676E-01	4.978E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q6F9G0-F1-model_v6	1.260E-19	538	1.000	7.423E-01	6.044E-01	6.776E-01	5.254E-01	0.914	0.907	546	483	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q2FWD6-F1-model_v6	1.592E-20	537	1.000	7.192E-01	5.854E-01	6.672E-01	4.984E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q985M6-F1-model_v6	3.158E-19	537	1.000	7.524E-01	6.228E-01	6.939E-01	5.369E-01	0.932	0.920	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-P9WNX6-F1-model_v6	1.265E-20	537	1.000	7.046E-01	6.083E-01	6.393E-01	5.039E-01	0.973	0.903	546	518	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q8CNI5-F1-model_v6	4.209E-19	536	1.000	7.618E-01	6.205E-01	7.065E-01	5.336E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q1IG69-F1-model_v6	1.189E-19	536	1.000	7.464E-01	6.239E-01	6.906E-01	5.181E-01	0.930	0.922	546	490	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-P9WNX8-F1-model_v6	3.172E-20	535	1.000	7.279E-01	5.833E-01	6.866E-01	5.021E-01	0.901	0.941	546	457	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A0QMB9-F1-model_v6	1.260E-19	535	1.000	7.471E-01	6.203E-01	7.104E-01	5.172E-01	0.929	0.949	546	472	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A6UQD0-F1-model_v6	1.065E-20	534	1.000	7.152E-01	5.752E-01	6.671E-01	4.873E-01	0.912	0.929	546	465	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q99SD6-F1-model_v6	1.592E-20	534	1.000	7.152E-01	5.825E-01	6.637E-01	4.956E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B1Z033-F1-model_v6	1.883E-19	534	1.000	7.376E-01	6.158E-01	6.825E-01	5.289E-01	0.930	0.922	546	489	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q5HLA3-F1-model_v6	5.635E-20	534	1.000	7.309E-01	6.071E-01	6.632E-01	5.103E-01	0.927	0.903	546	497	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q2YUN1-F1-model_v6	1.503E-20	533	1.000	7.163E-01	5.836E-01	6.643E-01	4.920E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A0B2F6-F1-model_v6	1.883E-19	533	1.000	7.376E-01	6.158E-01	6.825E-01	5.276E-01	0.929	0.922	546	489	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B2FQ90-F1-model_v6	2.112E-19	533	1.000	7.408E-01	6.171E-01	6.826E-01	5.284E-01	0.929	0.918	546	490	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-P54222-F1-model_v6	3.158E-19	532	1.000	7.545E-01	6.251E-01	6.962E-01	5.255E-01	0.932	0.920	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-P9WNX9-F1-model_v6	2.521E-20	531	1.000	7.277E-01	5.919E-01	6.966E-01	4.908E-01	0.910	0.956	546	457	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-O32507-F1-model_v6	3.360E-20	531	1.000	7.237E-01	5.961E-01	6.754E-01	4.992E-01	0.932	0.929	546	477	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B0CKN3-F1-model_v6	8.883E-19	531	1.000	7.675E-01	6.336E-01	7.057E-01	5.370E-01	0.930	0.916	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A0PST9-F1-model_v6	2.122E-20	531	1.000	7.036E-01	6.114E-01	6.424E-01	5.026E-01	0.971	0.909	546	518	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A1KF54-F1-model_v6	1.123E-19	530	1.000	7.387E-01	5.921E-01	6.967E-01	5.100E-01	0.901	0.941	546	457	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q5PHV8-F1-model_v6	3.974E-19	529	1.000	7.459E-01	6.079E-01	6.942E-01	5.311E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A6U6Y9-F1-model_v6	3.543E-19	529	1.000	7.520E-01	6.234E-01	6.940E-01	5.234E-01	0.932	0.920	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q1BQE1-F1-model_v6	2.815E-19	529	1.000	7.390E-01	6.168E-01	6.837E-01	5.279E-01	0.929	0.922	546	489	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q8Z747-F1-model_v6	3.158E-19	528	1.000	7.414E-01	6.042E-01	6.901E-01	5.267E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A9MQY3-F1-model_v6	3.974E-19	528	1.000	7.433E-01	6.030E-01	6.888E-01	5.294E-01	0.912	0.924	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B4EHJ1-F1-model_v6	3.543E-19	527	1.000	7.378E-01	6.160E-01	6.826E-01	5.292E-01	0.930	0.922	546	489	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A8GBX8-F1-model_v6	1.334E-19	527	1.000	7.255E-01	6.070E-01	6.713E-01	5.167E-01	0.930	0.922	546	490	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B7VQ28-F1-model_v6	2.658E-19	526	1.000	7.323E-01	6.088E-01	6.786E-01	5.256E-01	0.932	0.924	546	486	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A6X2G8-F1-model_v6	1.184E-18	526	1.000	7.643E-01	6.337E-01	7.058E-01	5.351E-01	0.932	0.920	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q0B712-F1-model_v6	3.158E-19	526	1.000	7.350E-01	6.136E-01	6.800E-01	5.266E-01	0.930	0.922	546	489	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q59702-F1-model_v6	2.815E-19	526	1.000	7.465E-01	6.177E-01	6.817E-01	5.164E-01	0.930	0.908	546	491	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q57P61-F1-model_v6	4.209E-19	525	1.000	7.416E-01	6.045E-01	6.903E-01	5.263E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q59931-F1-model_v6	5.968E-20	525	1.000	7.290E-01	5.939E-01	6.755E-01	4.946E-01	0.914	0.922	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q9AHG1-F1-model_v6	1.497E-19	525	1.000	7.455E-01	5.991E-01	6.792E-01	5.019E-01	0.912	0.906	546	477	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B1K708-F1-model_v6	4.458E-19	525	1.000	7.388E-01	6.167E-01	6.835E-01	5.289E-01	0.930	0.922	546	489	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A9MYQ4-F1-model_v6	4.722E-19	524	1.000	7.410E-01	6.036E-01	6.899E-01	5.266E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A4JJG5-F1-model_v6	3.543E-19	524	1.000	7.347E-01	6.132E-01	6.797E-01	5.261E-01	0.929	0.922	546	489	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q88CW7-F1-model_v6	2.815E-19	524	1.000	7.432E-01	6.188E-01	6.849E-01	5.152E-01	0.929	0.918	546	490	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q8UH56-F1-model_v6	1.184E-18	524	1.000	7.581E-01	6.254E-01	6.888E-01	5.359E-01	0.925	0.905	546	493	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A5TYV9-F1-model_v6	4.743E-20	523	1.000	7.296E-01	5.855E-01	6.885E-01	4.858E-01	0.901	0.941	546	457	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q39A43-F1-model_v6	5.001E-19	523	1.000	7.375E-01	6.158E-01	6.824E-01	5.289E-01	0.930	0.922	546	489	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B4SHW0-F1-model_v6	3.345E-19	523	1.000	7.333E-01	6.108E-01	6.757E-01	5.242E-01	0.929	0.918	546	490	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B7LZ33-F1-model_v6	3.752E-19	522	1.000	7.382E-01	6.019E-01	6.872E-01	5.202E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q6FFQ0-F1-model_v6	3.992E-20	522	1.000	6.977E-01	6.110E-01	6.325E-01	5.036E-01	0.951	0.901	546	526	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q3Z1H6-F1-model_v6	5.001E-19	521	1.000	7.393E-01	6.025E-01	6.881E-01	5.228E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-C0Q4N4-F1-model_v6	6.293E-19	521	1.000	7.413E-01	6.039E-01	6.897E-01	5.272E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A0RDW1-F1-model_v6	1.254E-18	520	1.000	7.609E-01	6.210E-01	6.927E-01	5.273E-01	0.912	0.905	546	486	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q4L966-F1-model_v6	7.477E-19	520	1.000	7.537E-01	6.195E-01	6.546E-01	5.209E-01	0.912	0.860	546	514	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-C3K3D2-F1-model_v6	5.610E-19	519	1.000	7.464E-01	6.244E-01	6.907E-01	5.180E-01	0.930	0.922	546	490	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B0KN18-F1-model_v6	7.477E-19	519	1.000	7.510E-01	6.254E-01	6.920E-01	5.199E-01	0.929	0.918	546	490	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-E1V7V8-F1-model_v6	4.209E-19	519	1.000	7.536E-01	6.085E-01	6.696E-01	5.060E-01	0.912	0.882	546	493	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-P38694-F1-model_v6	3.786E-21	519	1.000	6.458E-01	6.069E-01	5.209E-01	4.902E-01	0.993	0.793	546	644	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q8ZPC9-F1-model_v6	1.770E-18	518	1.000	7.554E-01	6.154E-01	7.027E-01	5.352E-01	0.916	0.928	546	474	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-H1ZV37-F1-model_v6	6.293E-19	518	1.000	7.590E-01	6.139E-01	6.952E-01	5.100E-01	0.912	0.912	546	478	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q8D3K3-F1-model_v6	9.965E-19	518	1.000	7.469E-01	6.212E-01	6.926E-01	5.278E-01	0.932	0.924	546	486	batch001_barbun6h_20cpu
