query	target	evalue	bits	prob	alntmscore	qtmscore	ttmscore	lddt	qcov	tcov	qlen	tlen	batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6q1i-assembly1_A	1.116E-03	84	0.991	4.838E-01	3.114E-01	4.241E-01	2.898E-01	0.558	0.963	520	348	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	7qxf-assembly1_B	5.519E-03	80	0.984	5.545E-01	2.521E-01	4.938E-01	3.000E-01	0.517	0.860	520	221	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4o1e-assembly1_B	1.961E-02	80	0.984	6.504E-01	3.551E-01	6.264E-01	3.309E-01	0.587	0.959	520	267	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6h9f-assembly1_D	1.056E-03	79	0.981	4.188E-01	3.152E-01	3.350E-01	2.894E-01	0.752	0.758	520	483	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5zmy-assembly2_C	3.181E-03	78	0.978	5.100E-01	3.042E-01	5.021E-01	2.794E-01	0.581	0.982	520	280	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2qez-assembly4_C	6.512E-03	77	0.975	5.349E-01	3.305E-01	3.813E-01	2.949E-01	0.644	0.652	520	437	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5zmy-assembly3_E	3.181E-03	76	0.971	4.991E-01	2.943E-01	4.904E-01	2.717E-01	0.581	0.982	520	278	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5bnk-assembly1_B	8.118E-03	75	0.967	5.254E-01	2.812E-01	5.220E-01	2.974E-01	0.562	0.996	520	235	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6ujf-assembly1_A	3.010E-03	75	0.967	4.741E-01	2.934E-01	4.543E-01	2.792E-01	0.550	0.987	520	301	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6mq4-assembly1_A	3.010E-03	75	0.967	4.621E-01	2.959E-01	4.028E-01	2.851E-01	0.562	0.963	520	350	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3qv9-assembly1_B-2	3.965E-03	75	0.967	4.825E-01	2.744E-01	3.412E-01	2.861E-01	0.588	0.635	520	394	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3ivt-assembly1_B	8.019E-04	75	0.967	3.857E-01	3.005E-01	3.682E-01	2.781E-01	0.754	0.942	520	400	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6kdd-assembly1_A	3.361E-03	74	0.961	4.649E-01	2.684E-01	4.092E-01	2.779E-01	0.508	0.887	520	309	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2ogy-assembly1_B	4.241E-02	71	0.941	6.213E-01	3.139E-01	5.585E-01	3.182E-01	0.533	0.882	520	262	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5zmu-assembly2_D	6.512E-03	71	0.941	4.863E-01	2.980E-01	4.781E-01	2.777E-01	0.581	0.983	520	287	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6bng-assembly1_B-2	3.220E-02	69	0.923	5.767E-01	3.158E-01	5.414E-01	3.090E-01	0.571	0.926	520	270	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5zmy-assembly4_H	8.578E-03	69	0.923	4.958E-01	2.951E-01	4.873E-01	2.729E-01	0.581	0.982	520	279	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4o1f-assembly1_A	8.683E-02	68	0.912	6.553E-01	3.590E-01	6.327E-01	3.350E-01	0.588	0.963	520	267	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3fs2-assembly1_A	4.736E-02	67	0.900	5.800E-01	3.267E-01	5.764E-01	3.166E-01	0.606	0.996	520	258	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5zmu-assembly1_B	1.069E-02	67	0.900	4.779E-01	2.920E-01	4.697E-01	2.763E-01	0.581	0.982	520	281	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4mg4-assembly1_H	2.313E-02	66	0.887	5.257E-01	2.562E-01	4.717E-01	2.917E-01	0.506	0.877	520	243	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6xi9-assembly1_A	3.551E-03	66	0.887	3.746E-01	2.776E-01	3.510E-01	2.776E-01	0.690	0.918	520	380	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3bg9-assembly2_D	6.512E-03	66	0.887	4.338E-01	2.940E-01	2.624E-01	2.737E-01	0.767	0.532	520	601	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1g4e-assembly2_B	2.189E-02	65	0.872	5.357E-01	2.738E-01	5.282E-01	2.682E-01	0.598	0.986	520	219	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4rz4-assembly1_B	4.482E-02	65	0.872	5.619E-01	2.547E-01	5.021E-01	3.037E-01	0.517	0.864	520	220	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5ahm-assembly1_B	2.189E-02	65	0.872	5.157E-01	2.645E-01	3.688E-01	2.815E-01	0.565	0.654	520	347	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1umy-assembly1_C	3.965E-03	65	0.872	4.015E-01	2.764E-01	3.529E-01	2.603E-01	0.687	0.853	520	380	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1g4p-assembly2_B	3.220E-02	64	0.855	5.683E-01	2.674E-01	5.338E-01	2.710E-01	0.569	0.922	520	218	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1g4t-assembly1_A	2.729E-02	64	0.855	5.443E-01	2.697E-01	5.189E-01	2.693E-01	0.565	0.942	520	226	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5zmy-assembly4_G	1.961E-02	64	0.855	5.021E-01	2.999E-01	4.928E-01	2.774E-01	0.581	0.982	520	280	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	8tnf-assembly1_A	3.361E-03	64	0.855	3.779E-01	2.667E-01	3.742E-01	2.587E-01	0.727	0.988	520	334	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4mg4-assembly1_A	3.220E-02	63	0.837	5.143E-01	2.525E-01	4.568E-01	2.888E-01	0.506	0.864	520	250	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4s1f-assembly1_A	6.238E-02	62	0.817	5.628E-01	2.532E-01	5.030E-01	2.998E-01	0.517	0.864	520	220	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3nqv-assembly1_A	1.488E-02	62	0.817	4.645E-01	2.417E-01	4.429E-01	2.616E-01	0.527	0.943	520	246	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4gfs-assembly1_B	5.004E-02	62	0.817	5.387E-01	3.014E-01	5.343E-01	2.897E-01	0.588	0.992	520	249	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3ndz-assembly1_A	1.409E-02	62	0.817	4.264E-01	2.839E-01	3.785E-01	2.807E-01	0.563	0.942	520	345	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4u5k-assembly2_B	2.729E-02	61	0.795	4.780E-01	2.707E-01	4.281E-01	2.821E-01	0.502	0.872	520	298	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4u5k-assembly1_A	2.072E-02	60	0.772	4.624E-01	2.661E-01	4.095E-01	2.644E-01	0.504	0.875	520	304	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2gq9-assembly1_A	4.678E-03	59	0.747	3.585E-01	2.539E-01	3.305E-01	2.432E-01	0.625	0.953	520	362	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1i9c-assembly1_B	3.595E-02	59	0.747	4.420E-01	3.313E-01	3.521E-01	3.031E-01	0.750	0.756	520	483	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1woa-assembly1_A	3.220E-02	58	0.720	4.436E-01	2.495E-01	4.408E-01	2.794E-01	0.562	0.996	520	246	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3oex-assembly1_B	1.507E-01	58	0.720	5.932E-01	3.275E-01	5.882E-01	3.107E-01	0.590	0.992	520	253	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4gug-assembly1_A	1.507E-01	57	0.692	5.704E-01	3.092E-01	5.631E-01	3.040E-01	0.585	0.988	520	247	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4awu-assembly1_A	5.832E-03	57	0.692	3.516E-01	2.481E-01	3.230E-01	2.468E-01	0.623	0.953	520	364	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1jqo-assembly1_A	5.223E-03	57	0.692	3.843E-01	2.114E-01	1.346E-01	2.179E-01	0.462	0.310	520	904	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5bmx-assembly1_D	1.573E-02	56	0.663	4.185E-01	2.271E-01	4.010E-01	2.448E-01	0.504	0.941	520	239	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2vff-assembly1_A	2.729E-02	56	0.663	4.449E-01	2.434E-01	4.340E-01	2.539E-01	0.538	0.968	520	247	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2vfh-assembly1_B	5.288E-02	56	0.663	4.629E-01	2.517E-01	4.438E-01	2.790E-01	0.517	0.947	520	247	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4u3a-assembly1_A	4.736E-02	56	0.663	4.669E-01	2.653E-01	4.228E-01	2.711E-01	0.502	0.884	520	292	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4awt-assembly1_A	8.578E-03	56	0.663	3.734E-01	2.385E-01	3.117E-01	2.416E-01	0.544	0.813	520	364	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1nfg-assembly1_B	3.010E-03	56	0.663	3.198E-01	1.703E-01	1.862E-01	2.346E-01	0.498	0.455	520	457	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1g4e-assembly1_A	9.175E-02	55	0.632	5.659E-01	2.719E-01	5.353E-01	2.587E-01	0.569	0.932	520	219	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1j5t-assembly1_A	1.682E-01	55	0.632	5.558E-01	2.655E-01	5.206E-01	3.028E-01	0.567	0.927	520	233	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4b5w-assembly1_C	6.238E-02	55	0.632	4.791E-01	2.484E-01	4.458E-01	2.723E-01	0.571	0.917	520	252	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6mvf-assembly2_E	2.884E-02	55	0.632	4.247E-01	2.794E-01	2.387E-01	2.605E-01	0.604	0.473	520	643	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1g4p-assembly1_A	1.209E-01	54	0.601	5.651E-01	2.680E-01	5.261E-01	2.667E-01	0.560	0.913	520	219	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2qji-assembly2_T	8.218E-02	54	0.601	5.042E-01	2.865E-01	4.888E-01	2.694E-01	0.644	0.967	520	269	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1yny-assembly1_A	1.130E-02	54	0.601	3.566E-01	1.834E-01	2.021E-01	2.456E-01	0.492	0.457	520	455	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3sfw-assembly1_A	1.194E-02	54	0.601	3.451E-01	1.862E-01	2.023E-01	2.525E-01	0.506	0.458	520	461	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5mkv-assembly1_D	1.069E-02	54	0.601	3.502E-01	1.902E-01	1.996E-01	2.499E-01	0.506	0.430	520	488	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3nq6-assembly1_B	8.218E-02	53	0.569	5.126E-01	2.520E-01	5.053E-01	2.559E-01	0.521	0.986	520	218	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3qqw-assembly1_B	6.965E-02	53	0.569	4.541E-01	2.885E-01	4.418E-01	2.741E-01	0.583	0.966	520	294	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4rz6-assembly1_B	4.482E-02	53	0.569	3.822E-01	2.155E-01	3.211E-01	2.966E-01	0.635	0.801	520	316	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3a9i-assembly1_A-2	5.004E-02	53	0.569	4.215E-01	3.047E-01	4.207E-01	2.766E-01	0.744	1.000	520	347	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2qez-assembly2_A	2.444E-02	53	0.569	3.700E-01	2.450E-01	2.763E-01	2.684E-01	0.644	0.654	520	439	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4z0j-assembly1_A	5.004E-02	52	0.537	4.361E-01	2.451E-01	4.308E-01	2.609E-01	0.552	0.988	520	244	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5c6m-assembly2_C	6.965E-02	52	0.537	4.283E-01	2.382E-01	4.171E-01	2.787E-01	0.573	0.967	520	246	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3nq2-assembly1_A	2.072E-02	52	0.537	3.610E-01	2.188E-01	3.590E-01	2.548E-01	0.677	0.988	520	247	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3lb0-assembly1_B	1.985E-01	52	0.537	5.426E-01	3.003E-01	5.393E-01	2.867E-01	0.588	0.996	520	251	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4u5i-assembly2_B	8.683E-02	52	0.537	4.617E-01	2.678E-01	4.183E-01	2.789E-01	0.502	0.882	520	296	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4im4-assembly6_F	6.592E-02	52	0.537	4.275E-01	2.954E-01	4.124E-01	2.756E-01	0.619	0.976	520	336	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1yny-assembly2_B	3.047E-02	52	0.537	3.975E-01	2.240E-01	2.444E-01	2.524E-01	0.454	0.499	520	459	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2epl-assembly1_X	2.072E-02	52	0.537	3.401E-01	2.898E-01	2.539E-01	2.695E-01	0.817	0.752	520	614	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1jcj-assembly2_B	1.083E-01	51	0.505	4.687E-01	2.477E-01	4.410E-01	2.771E-01	0.527	0.928	520	251	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2qjg-assembly2_H	1.209E-01	51	0.505	4.894E-01	2.808E-01	4.810E-01	2.727E-01	0.660	0.981	520	267	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3no5-assembly2_C	2.342E-01	51	0.505	5.187E-01	3.078E-01	5.084E-01	3.055E-01	0.581	0.978	520	273	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5ihs-assembly1_A	4.482E-02	51	0.505	4.220E-01	2.568E-01	3.823E-01	2.530E-01	0.515	0.863	520	306	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4w89-assembly2_B	5.288E-02	51	0.505	4.087E-01	2.825E-01	3.915E-01	2.692E-01	0.619	0.997	520	339	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1los-assembly1_B	5.904E-02	50	0.473	4.309E-01	2.200E-01	4.154E-01	2.533E-01	0.521	0.956	520	206	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1n7k-assembly1_A	3.047E-02	50	0.473	3.992E-01	2.080E-01	3.849E-01	2.345E-01	0.579	0.957	520	234	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3nr0-assembly2_B	1.426E-01	50	0.473	4.773E-01	2.374E-01	4.398E-01	2.786E-01	0.475	0.894	520	245	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1dxe-assembly1_B	6.592E-02	50	0.473	4.363E-01	2.120E-01	3.767E-01	2.576E-01	0.444	0.818	520	253	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2qjg-assembly1_A	1.024E-01	50	0.473	4.708E-01	2.718E-01	4.509E-01	2.600E-01	0.637	0.949	520	272	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4u5i-assembly1_A	1.209E-01	50	0.473	4.606E-01	2.635E-01	4.161E-01	2.789E-01	0.502	0.881	520	295	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3qqw-assembly2_E	1.024E-01	50	0.473	4.396E-01	2.820E-01	4.250E-01	2.783E-01	0.579	0.957	520	299	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6gl0-assembly1_C	7.360E-02	50	0.473	4.265E-01	2.685E-01	3.711E-01	2.676E-01	0.527	0.921	520	331	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1dvj-assembly2_C	9.175E-02	49	0.442	4.627E-01	2.374E-01	4.324E-01	2.516E-01	0.542	0.915	520	236	smoke_batch
